ال,the
نطاق,framework
يقيد,restrict
يتعقب,trace
بوصة,inch
مقابل,equivalent
صلب,solid
مَشرُوع,enterprise
يدين,owe
زي مُوحد,uniform
ميناء,port
معاصر,contemporary
بوابة,gate
يُسَهّل,ease
متخصص,specialist
تأكد,assure
حساب تعريفي,profile
مزاج,mood
حلقة,episode
كسر,crack
يُقدِّم,submit
أعراض,symptom
افتراضيًا,virtually
عصر,era
التغطية,coverage
توتر,tension
كابل,cable
حساس,sensitive
متوتر,nervous
مدخل,input
عزل,isolate
سجين,prisoner
اِسْتَبْعَد,eliminate
مبتل,wet
ثانوي,secondary
تجنيد,recruit
استبعاد,exclude
خيط,string
سحاب,cloud
يلهم,inspire
كبرى,grand
طاقم,crew
ظاهرة,phenomenon
تلميذ,pupil
خطأ شنيع,FALSE
يعيد,restore
صيغة,formula
تغيير,alter
روتين,routine
حوض,sink
التحديق,stare
بعد الآن,anymore
بطل,hero
مؤيد,supporter
يتحول,convert
متر,meter
شاحنة,truck
أنف,nose
الشراع,sail
كارثة,disaster
تكريس,devote
إرهابي,terrorist
يبرر,justify
حيوي,vital
فتن,fascinate
خارجي,external
حينما,whenever
مذنب,guilty
تحتلي,underlie
أم,mom
امتياز,distinction
إشباع,satisfaction
أَدْخَل,incorporate
صب,pour
اكتساح,sweep
سيد,sir
يقيم,evaluate
الغضب,anger
حانة,pub
تصور,perception
بطبيعة الحال,naturally
عملة,currency
قاعدة البيانات,database
بدءًا,initially
إِقلِيم,territory
نادرًا,rarely
ارتفاع,height
الغربي,western
توسع,expansion
باستمرار,constantly
العضلات,muscle
تخويف,scare
كل يوم,everyday
الحدود,boundary
نسبة,ratio
مقال,essay
ينسحب,withdraw
تلوث,pollution
اضطراب,disorder
أثاث,furniture
رمز,symbol
شقة,apartment
المحلل,analyst
فُولاَذ,steel
كعكة,cake
تحول,transform
جرح,wound
تقييد,restriction
مصمم,designer
أَضْنَى,strain
ابتكار,innovation
الألبوم,album
مغني,singer
أثر,trail
فخ,trap
مرتخي,loose
امتداد,extension
ثروة,wealth
تدريجياً,gradually
صهريج,tank
شر,evil
مميز,remarkable
لحن,tune
عشب,grass
دعوة,invitation
انتقال,transition
تخيف,frighten
مُنَاقَصَة,bid
تكاثر,breed
نادِر,extraordinary
باهِر,brilliant
مستشار,adviser
ينبع,stem
وضع,mode
مرآة,mirror
مريع,awful
أَثَار,pose
يُعدِّل,adjust
مبدع,creative
في الوقت الحاضر,nowadays
قصيدة,poem
الزراعة,agricultural
منافس,competitor
الكحول,alcohol
مهرجان,festival
الخضار,vegetable
واثق,confident
كوكب,planet
منحنى,curve
ركبة,knee
يغلب,overcome
الويب,web
عمق,depth
سجل,log
عملاق,giant
الله,God
شاسِع,extensive
يفسر,interpret
استقلال,independence
سكر,sugar
استشارة,consult
لون القرنفل,pink
الظل,shadow
يجرد,strip
سلس,smooth
تدخل,intervention
إقناع,impress
نائب,vice
متطرف,radical
بصورة مماثلة,similarly
تتصرف,behave
البعد,dimension
تالي,subsequent
عدوى,infection
سترة,jacket
كفاءة,efficiency
متسخ,dirty
إحصائية,statistic
بانتظام,regularly
ملجأ,resort
حديد,iron
إذاعة,broadcast
عضوية,membership
خبز,bread
أعمى,blind
نقي,pure
حليف,ally
يلوي,bend
ناضجة,mature
باختصار,briefly
التنبيه,alarm
حَافَظ على,sustain
فيضان,flood
فقر,poverty
مجنون,crazy
استشهد,cite
حديثا,newly
موازي,parallel
جنس,gender
راعي,sponsor
التمهيد,boot
دقيق,accurate
تاجر,dealer
زر,button
حرج,burden
صحراء,desert
رَفِيق,mate
أحياناً,occasionally
المساهم,shareholder
صَحن,bowl
اكتشاف,discovery
مقاومة,resistance
حمام,bath
تكرار,frequency
انتقد,criticize
فلسفة,philosophy
شفة,lip
يعتذر,apologize
موافقة,approval
أعار,lend
المشاركة,involvement
التعرض,exposure
رقمي,digital
يترجم,translate
يحرر,edit
تشكيل,formation
إيداع,deposit
جَذّاب,pleasant
يدافع عن,advocate
إنشاء,establishment
ملخص,summary
خشن,rough
قلم,pen
استعادة,recovery
ختم,seal
أنبوب,tube
برج,tower
حدد,specify
يلف,spin
المشغل,operator
الرضيع,infant
حفر,dig
يجر,drag
طَوّق,wrap
متكل,dependent
زاوية,angle
فرخة,chicken
قلق,anxiety
فايروس,virus
بدقة,precisely
منافسة,rival
مراهق,teenager
يُعجَب ب,admire
معتدل,moderate
جراحة,surgery
دلالة,significance
دش,shower
غير قانوني,illegal
صدقة,charity
سيجارة,cigarette
تشكل,constitute
مؤرخ,historian
ابن عم,cousin
مرئي,visual
غبي,stupid
حريص,keen
عرقية,ethnic
التوأم,twin
سريري,clinical
الشرقية,eastern
تنبؤ بالمناخ,forecast
مخصص,custom
يتكيف,adapt
رمل,sand
كاب,cap
اِسْتَدْعَى,prompt
سحر,charm
محاضرة,lecture
يغامر,venture
مُجَمَّع,compound
ينقذ,rescue
فوضى,mess
التفضيل,preference
شامل,comprehensive
حافز,incentive
دوري,league
مربع الحوار,dialog
كريم,cream
يلغي,cancel
يندم,regret
هامِش,margin
أسفل,beneath
الخصم,opponent
يقاوم,resist
القدرة,capability
مطلق,absolute
يتوافق,correspond
سكتة دماغية,stroke
يجرؤ,dare
يتخلص,rid
الطلاق,divorce
يخرب,ruin
دفن,bury
نزعة,tendency
متكرر,frequent
بقاء,survival
عداد,counter
يمتلك,possess
إذن,permission
الوادي,valley
يطفو,float
كثيرا,greatly
كهربائي,electric
بديع,impressive
تطور,evolution
وعي,awareness
عنيف,violent
عبد,slave
بنيان,architecture
مقبول,acceptable
الفحم,coal
قياس,measurement
عشوائي,random
بنجاح,successfully
خفض,depress
ينفجر,burst
المشتري,buyer
السكك الحديدية,rail
تحفيز,motivate
معمل,laboratory
القرض العقاري,mortgage
ترقية,promotion
عاطفة,passion
بكمل,fulfill
تراب,dust
جيبة,skirt
تقييم,evaluation
مساومة,compromise
ينجز,accomplish
ضعف,weakness
ملح,salt
يلمح,glance
الأوبرا,opera
فرشاة,brush
وراثي,genetic
صدر,chest
الأدبي,literary
يعتنق,embrace
مدح,praise
صامت,silent
مضخة,pump
الناشر,publisher
احتفال,celebration
الجولف,golf
تعويض,compensation
العجز,deficit
فلاش,flash
الصداقة,friendship
مهنة,profession
حرفياً,literally
معادلة,equation
إيماءة,gesture
تضخم اقتصادي,inflation
مُعَالَجَة,therapy
البرتقالي,orange
الموظفين,personnel
لا أوافق,disagree
حُلقُوم,throat
بصيرة,insight
يتصدى,tackle
للأبد,forever
يزيد عن,exceed
الإنفاق,expenditure
مرح,joy
موثوق,reliable
العتاد,gear
انقر,click
شاعر,poet
كومة,pile
خنزير,pig
خليط,mixture
تلقائيا,automatically
باحث,scholar
نفسية,psychological
مخلوق,creature
شراكة,partnership
مشاركة,participation
بند,clause
جزاء,penalty
باهِظ,fancy
شِعر,poetry
من أجل,sake
الرف,shelf
يعزز,boost
ذيل,tail
تملُّك,possession
إجهاض,abortion
فضولي,curious
خشبي,wooden
طفرة,boom
حكاية,tale
صيانة,maintenance
بالتالي,consequently
وعاء,pot
بقرة,cow
تعزز,strengthen
القيد,constraint
طية,fold
بن,bin
الخضوع,undergo
نِطَاق,scope
يدّعي,pretend
تنوع,diversity
يزعم,allege
فخر,pride
استقال,resign
حرفة,craft
أسمنت,concrete
صدَفَة,shell
متميز,distinct
مزاح,humor
قيود,limitation
استقرار,stability
حكيم,wise
أهمل,neglect
تأليف,compose
مَأوىً,shelter
مجرد,mere
الكربون,carbon
تنظيم,regulate
الجبن,cheese
مشغل,trigger
ماسورة,pipe
دمار,destruction
غيتار,guitar
علَم,flag
بيانو,piano
أُحجِيَّة,mystery
تزلج,ski
يهمس,whisper
مؤخرة,rear
قائمة طعام,menu
صِنف,species
قمر,moon
من المفترض,presumably
يبارك,bless
شركة طيران,airline
تعديل,amendment
جدة,grandmother
هيئة المحلفين,jury
تعاون,cooperation
يغض النظر,regardless
مسح,scan
حزمة,bunch
عنصري,racial
تحية,greet
أملاً,hopefully
العقوبة,sanction
حيلة,trick
فقرة,paragraph
صانع,maker
الشوكولاتة,chocolate
يحفز,stimulate
حزام,belt
البطاطس,potato
منديل,tissue
اختراع,invent
المحترف,pro
درج,stair
يتردد,hesitate
يشرق,shine
رومانسي,romantic
بحزم,firmly
الداخلية,interior
معدة,stomach
لا مكان,nowhere
يصلي,pray
بطولة,championship
خادم,servant
مهاجر,immigrant
إفراط,excess
تعقيد,complexity
مسئولية قانونية,liability
من المثير للدهشة,surprisingly
يستخرج,extract
تطبيق,implementation
تحيز,bias
بشكل مختلف,differently
كتالوج,catalog
مستمر,continuous
ذهبي,golden
المبدأ التوجيهي,guideline
سكين,knife
بيولوجي,biological
تستهلك,consume
رفاهية,luxury
أسبوعي,weekly
أينما,wherever
يعض,bite
طابعة,printer
مفامرة,adventure
سور,fence
العادم,exhaust
محيط,ocean
بهدوء,quietly
قلعة,castle
محارب قديم,veteran
انعكاس,reflection
العصب,nerve
عزيمة,determination
خيالي,fiction
السجاد,carpet
تَجَمَّع,cluster
ارتباك,confusion
عجل,hurry
منطق,logic
جدلي,controversial
خام,raw
قواعد,grammar
يراجع,revise
تَلمِيح,hint
خطاف,hook
سائل,liquid
ذعر,panic
عم,uncle
أرز,rice
منحدر,slope
سعادة,happiness
أصيل,genuine
إناء,vessel
الفعل,verb
احسب,reckon
سخيف,silly
مواصلات,transportation
كوميديا,comedy
يطارد,chase
تخزين,storage
الكون,universe
فظيع,horrible
غنم,sheep
عاشق,lover
فأر,rat
لَوحَة,portrait
البريء,innocent
ملحق,supplement
فلتر,filter
مرن,flexible
خلاصة,abstract
خيمة,tent
قمح,grain
لخص,summarize
فرقعة,snap
ريبة,uncertainty
يُقسم,swear
لاجئ,refugee
شهريا,monthly
تضم,comprise
ضجة,stir
الإثارة,excitement
تنهد,sigh
الحمل,pregnancy
تجريبي,experimental
المؤسسية,institutional
تجول,wander
إمبراطورية,empire
تبعًا,subsequently
لطيف,gentle
مؤهل,qualification
وظيفية,functional
تطوعية,voluntary
باهت,pale
بقع,stain
رياضي,athlete
عضوي,organic
لسان,tongue
الخادم,server
الهيكلية,structural
موقع إلكتروني,website
أحمق,fool
إلى جانب,alongside
توحد,unite
بلطف,gently
يمسح,wipe
نظرة,gaze
سعال,cough
الملكي,royal
ستارة,curtain
عمدة,mayor
الظلام,darkness
عمة,aunt
البطولة,tournament
تسجيل,registration
المستمع,listener
الهجرة,immigration
ليّن,tender
كثافة,density
قبيح,ugly
الوحدة النمطية,module
بأمانة,faithfully
خريف,autumn
خدّ,cheek
مرفق,attachment
حامل,holder
الطاقة الشمسية,solar
ابتسامة,grin
وَردَة,rose
على ما يرام,alright
كسول,lazy
مرحبًا,hello
الجوع,hunger
خجلان,ashamed
وجد,found
مدونة,blog
العطش,thirst
